season,week,team,opponent_team,home_probability,away_probability
2009,8,ARI,CAR,0.8165137614678898,0.2061855670103093
2009,8,BAL,DEN,0.6875,0.3401360544217687
2009,8,BUF,HOU,0.36764705882352944,0.6551724137931035
2009,8,CHI,CLE,0.8571428571428571,0.17543859649122806
2009,8,DAL,SEA,0.8333333333333334,0.1923076923076923
2009,8,DET,STL,0.6212121212121212,0.4016064257028112
2009,8,GB,MIN,0.6527777777777778,0.37037037037037035
2009,8,IND,SF,0.8816568047337278,0.13986013986013984
2009,8,NO,ATL,0.8412698412698413,0.18181818181818182
2009,8,NYJ,MIA,0.6563573883161512,0.3663003663003663
2009,8,PHI,NYG,0.46511627906976744,0.5555555555555556
2009,8,SD,OAK,0.9333333333333333,0.1
2009,8,TEN,JAX,0.6226415094339623,0.4
2009,9,ATL,WAS,0.8095238095238095,0.2150537634408602
2009,9,CHI,ARI,0.5780590717299579,0.4444444444444444
2009,9,CIN,BAL,0.43103448275862066,0.5901639344262295
2009,9,DEN,PIT,0.42194092827004215,0.6031746031746031
2009,9,IND,HOU,0.7727272727272727,0.25
2009,9,JAX,KC,0.7468354430379747,0.28169014084507044
2009,9,NE,MIA,0.861111111111111,0.1694915254237288
2009,9,NO,CAR,0.8630136986301371,0.16666666666666666
2009,9,NYG,SD,0.7101449275362319,0.31347962382445144
2009,9,PHI,DAL,0.5833333333333333,0.43859649122807015
2009,9,SEA,DET,0.8484848484848485,0.1724137931034483
2009,9,SF,TEN,0.6677740863787376,0.35587188612099646
2009,9,TB,GB,0.19607843137254904,0.8275862068965518
2009,10,ARI,SEA,0.7619047619047619,0.2631578947368421
2009,10,CAR,ATL,0.5121951219512195,0.5121951219512195
2009,10,CLE,BAL,0.1694915254237288,0.8507462686567163
2009,10,GB,DAL,0.4347826086956522,0.5867768595041323
2009,10,IND,NE,0.5689655172413793,0.45454545454545453
2009,10,MIA,TB,0.8165137614678898,0.2061855670103093
2009,10,MIN,DET,0.9310344827586208,0.09174311926605504
2009,10,NYJ,JAX,0.7297297297297298,0.2958579881656805
2009,10,OAK,KC,0.5833333333333333,0.43859649122807015
2009,10,PIT,CIN,0.7560975609756098,0.27027027027027023
2009,10,SD,PHI,0.5260663507109005,0.49751243781094534
2009,10,SF,CHI,0.646643109540636,0.37735849056603776
2009,10,STL,NO,0.1388888888888889,0.8888888888888888
2009,10,TEN,BUF,0.7727272727272727,0.25
2009,10,WAS,DEN,0.38167938931297707,0.6428571428571428
2009,11,BAL,IND,0.5073891625615764,0.5169082125603864
2009,11,CAR,MIA,0.6515679442508712,0.3717472118959108
2009,11,CHI,PHI,0.37037037037037035,0.6527777777777778
2009,11,DAL,WAS,0.84251968503937,0.1801801801801802
2009,11,DEN,SD,0.2958579881656805,0.7297297297297298
2009,11,DET,CLE,0.6336996336996338,0.38759689922480617
2009,11,GB,SF,0.7297297297297298,0.2958579881656805
2009,11,HOU,TEN,0.6491228070175439,0.37453183520599254
2009,11,JAX,BUF,0.788135593220339,0.23696682464454974
2009,11,KC,PIT,0.14925373134328357,0.875
2009,11,MIN,SEA,0.8214285714285714,0.2
2009,11,NE,NYJ,0.8648648648648649,0.1639344262295082
2009,11,NYG,ATL,0.7727272727272727,0.25
2009,11,OAK,CIN,0.22727272727272727,0.7959183673469388
2009,11,STL,ARI,0.23255813953488372,0.7916666666666667
2009,11,TB,NO,0.1923076923076923,0.8333333333333334
2009,12,ATL,TB,0.8620689655172414,0.16666666666666666
2009,12,BAL,PIT,0.7695852534562212,0.25380710659898476
2009,12,BUF,MIA,0.36764705882352944,0.6551724137931035
2009,12,CIN,CLE,0.8591549295774649,0.1724137931034483
2009,12,DAL,OAK,0.8888888888888888,0.1388888888888889
2009,12,DEN,NYG,0.3412969283276451,0.6865203761755486
2009,12,DET,GB,0.1680672268907563,0.8620689655172414
2009,12,HOU,IND,0.44052863436123346,0.5815899581589958
2009,12,MIN,CHI,0.8387096774193549,0.18518518518518517
2009,12,NO,NE,0.5575221238938054,0.4629629629629629
2009,12,NYJ,CAR,0.626865671641791,0.39525691699604737
2009,12,PHI,WAS,0.8260869565217391,0.19801980198019803
2009,12,SD,KC,0.8757763975155279,0.15267175572519084
2009,12,SF,JAX,0.6363636363636364,0.3846153846153846
2009,12,STL,SEA,0.40322580645161293,0.6197718631178707
2009,12,TEN,ARI,0.6563573883161512,0.3663003663003663
2009,13,ARI,MIN,0.3921568627450981,0.6296296296296295
2009,13,ATL,PHI,0.34602076124567477,0.6825396825396826
2009,13,BUF,NYJ,0.3663003663003663,0.6563573883161512
2009,13,CAR,TB,0.6644295302013422,0.3597122302158273
2009,13,CHI,STL,0.8198198198198198,0.20202020202020202
2009,13,CIN,DET,0.8823529411764706,0.1388888888888889
2009,13,CLE,SD,0.14925373134328357,0.875
2009,13,GB,BAL,0.673202614379085,0.34965034965034963
2009,13,IND,TEN,0.7142857142857143,0.30864197530864196
2009,13,JAX,HOU,0.49504950495049505,0.5283018867924528
2009,13,KC,DEN,0.3194888178913738,0.7050147492625369
2009,13,MIA,NE,0.3048780487804878,0.7222222222222222
2009,13,NYG,DAL,0.4807692307692307,0.5412844036697247
2009,13,PIT,OAK,0.92,0.10101010101010101
2009,13,SEA,SF,0.5,0.5238095238095238
2009,13,WAS,NO,0.2222222222222222,0.8
2009,14,ATL,NO,0.2127659574468085,0.8113207547169812
2009,14,BAL,DET,0.8902305159165751,0.13679890560875513
2009,14,CHI,GB,0.36764705882352944,0.6551724137931035
2009,14,CLE,PIT,0.18348623853211007,0.84
2009,14,DAL,SD,0.6389891696750902,0.38167938931297707
